PG,SG,SF,PF,C,G,F,UTIL,Unnamed: 8,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,Saber Score
42180459,42180472,42180555,42180485,42180507,42180520,42180528,42180482,,242.8,225.46875,242.21875,261.96875,271.00625,286.99375,306.71875,244.0,49800,1,0,103.26912548278312,97.58748364615704,100.41985456053708,94.755112731777,171.4758459393098,100.4145995113953,97.58222859701524,97.58222859701524,85.10728421162645,37.74993419647217
42180551,42180547,42180563,42180531,42180454,42180520,42180465,42180493,,239.8,223.5814971923828,239.8314971923828,255.6439971923828,264.0814819335937,277.59398193359374,296.58398193359375,203.0,49500,1,0,102.2877168756744,97.45145624782184,99.82657835904688,95.07633413659678,171.43720613497644,99.81869562394748,97.44357351272244,97.44357351272244,85.54502010681907,9.634571522474287
42180468,42180540,42180544,42180485,42180577,42180517,42180528,42180454,,245.8,229.7247467041016,246.0997467041016,261.9747314453125,269.7247619628906,283.97473297119143,302.2372619628906,248.0,49500,1,0,104.3877347061937,98.59612112076348,101.45555148686331,95.73669075466364,172.37486444651358,101.41085288332476,98.55142251722494,98.55142251722494,85.93027650378593,61.63126826286316
42180459,42180601,42180498,42180462,42180511,42180476,42180507,42180528,,237.7,221.322998046875,238.947998046875,255.385498046875,263.322998046875,277.335498046875,292.342998046875,211.0,49900,1,0,101.34969063013936,96.37790929134914,98.8299821920989,93.9258363905994,170.61610836847666,98.69731890377528,96.24524600302551,96.24524600302551,84.35314133102874,-2.258753962814808
42180547,42180517,42180583,42180674,42180454,42180456,42180485,42180588,,236.90000000000003,219.15374755859372,238.15374755859372,255.40374755859372,265.4412475585938,281.91624755859374,298.90624755859375,178.0,50000,1,0,101.52768807818406,97.4746089038064,99.50659994826664,95.44261785934616,171.20210210488412,99.42634059219546,97.39434954773522,97.39434954773522,85.95409797904941,8.954670280218124
42180520,42180551,42180498,42180531,42180507,42180476,42180465,42180459,,247.0,229.47325134277344,247.47325134277344,263.7857666015625,273.4732666015625,289.2482666015625,310.4782666015625,249.0,50000,1,0,104.94105807783453,99.07893655515248,101.99544546935792,96.16242764094704,172.64196231455972,102.03264027894424,99.1161313647388,99.1161313647388,86.39024993266203,76.777583360672
42180459,42180468,42180485,42180555,42180493,42180517,42180507,42180540,,246.50000000000003,229.2075042724609,245.9575042724609,263.52001953125,273.24501953125,287.95751953125,305.97251953125,260.0,49400,1,0,104.6453090334566,98.5698369057454,101.57537544378025,95.5642983677106,172.30504683179376,101.514197725346,98.5086591873112,98.5086591873112,85.71360516079343,73.96777868270874
42180472,42180551,42180531,42180462,42180577,42180456,42180485,42180599,,243.9,227.42401123046875,244.73651123046875,262.79901123046875,273.5240112304688,293.0115112304687,309.48901123046875,219.0,50000,1,0,104.0130008809708,98.87825452700352,101.49349655626035,96.26301249774669,172.2595874267921,101.37290259449398,98.75766056523712,98.75766056523712,86.45615960031706,141.26121997833252
42180459,42180498,42180583,42180465,42180588,42180547,42180544,42180456,,241.6,226.04849243164065,241.17349243164065,259.0484924316406,268.2984924316406,282.8234924316406,297.3134924316406,196.0,50000,1,0,103.2116791225624,98.5179566641966,100.83452990979656,96.2013834185966,172.12618631261265,100.67360688553686,98.35703363993689,98.35703363993689,86.44554379386034,21.3127464056015
42180520,42180498,42180555,42180485,42180526,42180456,42180528,42180493,,246.6,230.8695068359375,247.7445068359375,265.6820068359375,274.6195068359375,289.6320068359375,307.6220068359375,246.0,49900,1,0,104.85982224405228,99.0430834485912,101.92289628459686,96.16327061258556,172.58826948287356,101.85727883266246,98.9774659966568,98.9774659966568,86.30416626629057,110.89547872543336
